,BTC,Gold,USTreasury,IXC,IYE,SPY,VDE,VXUS,CPI,PPI,FedFunds,GS10
BTC,1.0,0.06931951306745152,0.015336336669388823,0.196430238919774,0.19541341580037433,0.3468725066666936,0.19259534283631075,0.2579307563026092,-0.019877428507402744,0.03826424709476931,-0.11084456950829485,0.080606221638193
Gold,0.06931951306745152,1.0,0.3410503350887107,0.035632126680152955,0.001608039149434118,0.07776835415643078,-0.00198252201983719,0.23804851199331925,-0.045648457400207086,-0.05952942394324741,-0.07646879417803862,-0.34673455748510573
USTreasury,0.015336336669388823,0.3410503350887107,1.0,-0.2551975372069426,-0.27022594450115117,0.08495801990401099,-0.2820669440241641,0.12647125204672152,-0.3012269186006712,-0.30018616372452384,-0.1750902479619456,-0.6965774489517458
IXC,0.196430238919774,0.035632126680152955,-0.2551975372069426,1.0,0.9789903313776278,0.6154173486048045,0.9792803331422126,0.6730671142918305,0.19204184614850964,0.2138163733339805,0.06361055971192806,0.28240029231251695
IYE,0.19541341580037433,0.001608039149434118,-0.27022594450115117,0.9789903313776278,1.0,0.6320911714176405,0.9987382225046407,0.6336999757716825,0.16410887626137619,0.1872054484171663,0.035992470001511394,0.29251403348036903
SPY,0.3468725066666936,0.07776835415643078,0.08495801990401099,0.6154173486048045,0.6320911714176405,1.0,0.6234824097194214,0.8347349899190567,0.021795047896963148,-0.008172137308958586,-0.09362358826413987,0.006173106551537859
VDE,0.19259534283631075,-0.00198252201983719,-0.2820669440241641,0.9792803331422126,0.9987382225046407,0.6234824097194214,1.0,0.629765504838051,0.16901750661346462,0.19191643684215315,0.02962662822313007,0.2996832492056506
VXUS,0.2579307563026092,0.23804851199331925,0.12647125204672152,0.6730671142918305,0.6336999757716825,0.8347349899190567,0.629765504838051,1.0,0.03068327056602349,0.034669073735848197,-0.041394198429683365,0.0015379968614596057
CPI,-0.019877428507402744,-0.045648457400207086,-0.3012269186006712,0.19204184614850964,0.16410887626137619,0.021795047896963148,0.16901750661346462,0.03068327056602349,1.0,0.7372277584478654,0.36745132130177727,0.4523630838382113
PPI,0.03826424709476931,-0.05952942394324741,-0.30018616372452384,0.2138163733339805,0.1872054484171663,-0.008172137308958586,0.19191643684215315,0.034669073735848197,0.7372277584478654,1.0,0.2943465768076027,0.4988018060763681
FedFunds,-0.11084456950829485,-0.07646879417803862,-0.1750902479619456,0.06361055971192806,0.035992470001511394,-0.09362358826413987,0.02962662822313007,-0.041394198429683365,0.36745132130177727,0.2943465768076027,1.0,0.20575559823601577
GS10,0.080606221638193,-0.34673455748510573,-0.6965774489517458,0.28240029231251695,0.29251403348036903,0.006173106551537859,0.2996832492056506,0.0015379968614596057,0.4523630838382113,0.4988018060763681,0.20575559823601577,1.0
